,LabyrinthA,table,small_battery,unreachable_without_dying,huge,large,huge2,LabyrinthB,many_intersections,Big_empty
Algorithm_208992883_322623182_randomized_DFS,776,366,881,680,1141,212,941,501,400,785
Algorithm_208992883_322623182_BFS,7074,11176,17300,676,8302,16020,6100,5700,4876,998
